Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Training nfsp_iqn_mean_var_05 | seed=42 | 3,000,000 episodes
Eval every 10,000 | Log every 50,000 | Device: cpu
===============================================================================================

nfsp_iqn_mean_var_05:   0%|          | 0/3000000 [00:00<?, ?ep/s]
nfsp_iqn_mean_var_05:   0%|          | 248/3000000 [00:02<6:45:18, 123.35ep/s]
nfsp_iqn_mean_var_05:   0%|          | 495/3000000 [00:04<8:02:21, 103.64ep/s]
nfsp_iqn_mean_var_05:   0%|          | 708/3000000 [00:07<8:40:21, 96.07ep/s] 
nfsp_iqn_mean_var_05:   0%|          | 905/3000000 [00:10<9:22:47, 88.82ep/s]
nfsp_iqn_mean_var_05:   0%|          | 1087/3000000 [00:12<9:48:05, 84.99ep/s]
nfsp_iqn_mean_var_05:   0%|          | 1261/3000000 [00:15<10:05:52, 82.49ep/s]
nfsp_iqn_mean_var_05:   0%|          | 1429/3000000 [00:17<10:19:30, 80.67ep/s]
nfsp_iqn_mean_var_05:   0%|          | 1593/3000000 [00:19<10:30:40, 79.24ep/s]
nfsp_iqn_mean_var_05:   0%|          | 1753/3000000 [00:21<10:37:58, 78.33ep/s]
nfsp_iqn_mean_var_05:   0%|          | 1911/3000000 [00:24<10:45:00, 77.47ep/s]
nfsp_iqn_mean_var_05:   0%|          | 2067/3000000 [00:26<10:50:31, 76.81ep/s]
nfsp_iqn_mean_var_05:   0%|          | 2222/3000000 [00:28<10:55:09, 76.26ep/s]
nfsp_iqn_mean_var_05:   0%|          | 2375/3000000 [00:30<10:58:53, 75.82ep/s]
nfsp_iqn_mean_var_05:   0%|          | 2527/3000000 [00:32<11:02:21, 75.42ep/s]
nfsp_iqn_mean_var_05:   0%|          | 2679/3000000 [00:34<11:05:22, 75.08ep/s]
nfsp_iqn_mean_var_05:   0%|          | 2830/3000000 [00:37<11:28:18, 72.57ep/s]
nfsp_iqn_mean_var_05:   0%|          | 2977/3000000 [00:41<11:56:34, 69.71ep/s]
nfsp_iqn_mean_var_05:   0%|          | 3119/3000000 [00:44<12:20:38, 67.44ep/s]
nfsp_iqn_mean_var_05:   0%|          | 3257/3000000 [00:46<12:41:45, 65.57ep/s]
nfsp_iqn_mean_var_05:   0%|          | 3392/3000000 [00:49<13:01:48, 63.88ep/s]
nfsp_iqn_mean_var_05:   0%|          | 3524/3000000 [00:52<13:19:31, 62.46ep/s]
nfsp_iqn_mean_var_05:   0%|          | 3653/3000000 [00:55<13:34:30, 61.31ep/s]
nfsp_iqn_mean_var_05:   0%|          | 3779/3000000 [00:58<13:48:53, 60.25ep/s]
nfsp_iqn_mean_var_05:   0%|          | 3903/3000000 [01:00<14:01:22, 59.35ep/s]
nfsp_iqn_mean_var_05:   0%|          | 4025/3000000 [01:03<14:12:40, 58.56ep/s]
nfsp_iqn_mean_var_05:   0%|          | 4145/3000000 [01:05<14:23:07, 57.85ep/s]
nfsp_iqn_mean_var_05:   0%|          | 4264/3000000 [01:08<14:33:16, 57.17ep/s]
nfsp_iqn_mean_var_05:   0%|          | 4381/3000000 [01:10<14:42:15, 56.59ep/s]
nfsp_iqn_mean_var_05:   0%|          | 4497/3000000 [01:13<14:50:27, 56.07ep/s]
nfsp_iqn_mean_var_05:   0%|          | 4611/3000000 [01:15<14:58:49, 55.54ep/s]
nfsp_iqn_mean_var_05:   0%|          | 4724/3000000 [01:17<15:06:48, 55.05ep/s]
nfsp_iqn_mean_var_05:   0%|          | 4836/3000000 [01:20<15:14:23, 54.59ep/s]
nfsp_iqn_mean_var_05:   0%|          | 4947/3000000 [01:22<15:21:27, 54.17ep/s]
nfsp_iqn_mean_var_05:   0%|          | 5057/3000000 [01:24<15:27:37, 53.81ep/s]
nfsp_iqn_mean_var_05:   0%|          | 5166/3000000 [01:27<15:33:30, 53.47ep/s]
nfsp_iqn_mean_var_05:   0%|          | 5274/3000000 [01:29<15:37:55, 53.22ep/s]
nfsp_iqn_mean_var_05:   0%|          | 5382/3000000 [01:31<15:43:36, 52.89ep/s]
nfsp_iqn_mean_var_05:   0%|          | 5489/3000000 [01:33<15:48:39, 52.61ep/s]
nfsp_iqn_mean_var_05:   0%|          | 5595/3000000 [01:36<15:53:22, 52.35ep/s]
nfsp_iqn_mean_var_05:   0%|          | 5701/3000000 [01:38<15:58:14, 52.08ep/s]
nfsp_iqn_mean_var_05:   0%|          | 5806/3000000 [01:40<16:02:59, 51.82ep/s]
nfsp_iqn_mean_var_05:   0%|          | 5911/3000000 [01:42<16:06:58, 51.61ep/s]
nfsp_iqn_mean_var_05:   0%|          | 6015/3000000 [01:44<16:10:12, 51.43ep/s]
nfsp_iqn_mean_var_05:   0%|          | 6119/3000000 [01:47<16:14:22, 51.21ep/s]
nfsp_iqn_mean_var_05:   0%|          | 6222/3000000 [01:49<16:16:35, 51.09ep/s]
nfsp_iqn_mean_var_05:   0%|          | 6325/3000000 [01:51<16:20:03, 50.91ep/s]
nfsp_iqn_mean_var_05:   0%|          | 6427/3000000 [01:53<16:24:11, 50.69ep/s]
nfsp_iqn_mean_var_05:   0%|          | 6529/3000000 [01:55<16:27:46, 50.51ep/s]
nfsp_iqn_mean_var_05:   0%|          | 6631/3000000 [01:57<16:30:40, 50.36ep/s]
nfsp_iqn_mean_var_05:   0%|          | 6732/3000000 [02:00<16:33:26, 50.22ep/s]
nfsp_iqn_mean_var_05:   0%|          | 6833/3000000 [02:02<16:35:15, 50.12ep/s]
nfsp_iqn_mean_var_05:   0%|          | 6934/3000000 [02:04<16:37:13, 50.02ep/s]
nfsp_iqn_mean_var_05:   0%|          | 7035/3000000 [02:06<16:39:06, 49.93ep/s]
