episode,a_name,b_name,a_avg_chips,a_se_chips,a_mbb,a_mbb_se,games,seconds
10000000,baseline,meanvar,+78.97,14.05,+789.7,140.5,5000,19
10000000,baseline,neutral,+68.24,13.97,+682.4,139.7,5000,19
10000000,meanvar,neutral,-0.65,15.65,-6.5,156.5,5000,21
20000000,baseline,meanvar,+63.54,12.93,+635.4,129.3,5000,19
20000000,baseline,neutral,+64.32,13.48,+643.2,134.8,5000,20
20000000,meanvar,neutral,+6.56,15.02,+65.6,150.2,5000,20
30000000,baseline,meanvar,+53.33,13.29,+533.3,132.9,5000,18
30000000,baseline,neutral,+83.61,12.99,+836.1,129.9,5000,18
30000000,meanvar,neutral,+1.15,15.49,+11.5,154.9,5000,22
40000000,baseline,meanvar,+77.51,12.91,+775.1,129.1,5000,19
40000000,baseline,neutral,+75.22,12.69,+752.2,126.9,5000,19
40000000,meanvar,neutral,+22.53,14.48,+225.3,144.8,5000,20
50000000,baseline,meanvar,+68.30,12.26,+683.0,122.6,5000,14
50000000,baseline,neutral,+71.37,12.43,+713.7,124.3,5000,15
50000000,meanvar,neutral,-15.68,14.16,-156.8,141.6,5000,16
