NFSP C++ Hold'em holdem_64x64_baseline (nfsp) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep     50000/50000000] avg_r=  0.440 | h2h=  0.0000 | br=19.0568 | avg= 0.4120 |   2765 ep/s | 0.3m
[Ep    100000/50000000] avg_r=  0.305 | h2h=  0.0000 | br=22.6474 | avg= 0.4605 |   2647 ep/s | 0.6m
[Ep    150000/50000000] avg_r=  0.237 | h2h=  0.0000 | br=22.0164 | avg= 0.4647 |   2722 ep/s | 0.9m
[Ep    200000/50000000] avg_r=  0.467 | h2h=  0.0000 | br=21.3232 | avg= 0.4666 |   2709 ep/s | 1.2m
[Ep    250000/50000000] avg_r=  0.410 | h2h=  0.0000 | br=21.0119 | avg= 0.4790 |   2730 ep/s | 1.5m
[Ep    300000/50000000] avg_r=  0.405 | h2h=  0.0000 | br=19.8249 | avg= 0.4835 |   2716 ep/s | 1.8m
[Ep    350000/50000000] avg_r=  0.430 | h2h=  0.0000 | br=18.9796 | avg= 0.4823 |   2739 ep/s | 2.1m
[Ep    400000/50000000] avg_r=  0.433 | h2h=  0.0000 | br=18.6709 | avg= 0.4802 |   2779 ep/s | 2.4m
[Ep    450000/50000000] avg_r=  0.584 | h2h=  0.0000 | br=18.4899 | avg= 0.4824 |   2749 ep/s | 2.7m
[Ep    500000/50000000] avg_r=  0.480 | h2h=  0.0000 | br=18.6518 | avg= 0.4846 |   2795 ep/s | 3.0m
[Ep    550000/50000000] avg_r=  0.501 | h2h=  0.0000 | br=18.7030 | avg= 0.4870 |   2753 ep/s | 3.4m
[Ep    600000/50000000] avg_r=  0.415 | h2h=  0.0000 | br=18.6742 | avg= 0.4900 |   2727 ep/s | 3.7m
[Ep    650000/50000000] avg_r=  0.458 | h2h=  0.0000 | br=18.5722 | avg= 0.4924 |   2763 ep/s | 4.0m
[Ep    700000/50000000] avg_r=  0.461 | h2h=  0.0000 | br=18.2896 | avg= 0.4951 |   2779 ep/s | 4.3m
[Ep    750000/50000000] avg_r=  0.458 | h2h=  0.0000 | br=18.1606 | avg= 0.4943 |   2746 ep/s | 4.6m
[Ep    800000/50000000] avg_r=  0.529 | h2h=  0.0000 | br=18.1919 | avg= 0.4921 |   2754 ep/s | 4.9m
[Ep    850000/50000000] avg_r=  0.395 | h2h=  0.0000 | br=18.2447 | avg= 0.4925 |   2652 ep/s | 5.2m
[Ep    900000/50000000] avg_r=  0.473 | h2h=  0.0000 | br=18.4430 | avg= 0.4902 |   2765 ep/s | 5.5m
[Ep    950000/50000000] avg_r=  0.531 | h2h=  0.0000 | br=18.5902 | avg= 0.4884 |   2744 ep/s | 5.8m
[Ep   1000000/50000000] avg_r=  0.427 | h2h=  0.0000 | br=18.9512 | avg= 0.4892 |   2763 ep/s | 6.1m
[Ep   1050000/50000000] avg_r=  0.404 | h2h=  0.0000 | br=19.0768 | avg= 0.4890 |   2753 ep/s | 6.4m
[Ep   1100000/50000000] avg_r=  0.497 | h2h=  0.0000 | br=18.8588 | avg= 0.4888 |   2781 ep/s | 6.7m
[Ep   1150000/50000000] avg_r=  0.442 | h2h=  0.0000 | br=18.9779 | avg= 0.4888 |   2791 ep/s | 7.0m
[Ep   1200000/50000000] avg_r=  0.336 | h2h=  0.0000 | br=19.0836 | avg= 0.4903 |   2809 ep/s | 7.3m
[Ep   1250000/50000000] avg_r=  0.495 | h2h=  0.0000 | br=19.0826 | avg= 0.4906 |   2813 ep/s | 7.6m
[Ep   1300000/50000000] avg_r=  0.425 | h2h=  0.0000 | br=19.0080 | avg= 0.4909 |   2824 ep/s | 7.9m
[Ep   1350000/50000000] avg_r=  0.378 | h2h=  0.0000 | br=19.0775 | avg= 0.4917 |   2768 ep/s | 8.2m
[Ep   1400000/50000000] avg_r=  0.480 | h2h=  0.0000 | br=19.2322 | avg= 0.4932 |   2829 ep/s | 8.5m
[Ep   1450000/50000000] avg_r=  0.416 | h2h=  0.0000 | br=19.3138 | avg= 0.4974 |   2867 ep/s | 8.8m
[Ep   1500000/50000000] avg_r=  0.402 | h2h=  0.0000 | br=19.3534 | avg= 0.4985 |   2861 ep/s | 9.1m
[Ep   1550000/50000000] avg_r=  0.420 | h2h=  0.0000 | br=19.2826 | avg= 0.5010 |   2865 ep/s | 9.3m
[Ep   1600000/50000000] avg_r=  0.420 | h2h=  0.0000 | br=19.2918 | avg= 0.5030 |   2889 ep/s | 9.6m
[Ep   1650000/50000000] avg_r=  0.491 | h2h=  0.0000 | br=19.0491 | avg= 0.5052 |   2952 ep/s | 9.9m
[Ep   1700000/50000000] avg_r=  0.389 | h2h=  0.0000 | br=19.1600 | avg= 0.5048 |   2938 ep/s | 10.2m
[Ep   1750000/50000000] avg_r=  0.338 | h2h=  0.0000 | br=19.0726 | avg= 0.5077 |   2966 ep/s | 10.5m
[Ep   1800000/50000000] avg_r=  0.475 | h2h=  0.0000 | br=19.1620 | avg= 0.5088 |   2941 ep/s | 10.8m
[Ep   1850000/50000000] avg_r=  0.463 | h2h=  0.0000 | br=18.6736 | avg= 0.5093 |   2992 ep/s | 11.0m
[Ep   1900000/50000000] avg_r=  0.412 | h2h=  0.0000 | br=18.8008 | avg= 0.5105 |   3005 ep/s | 11.3m
[Ep   1950000/50000000] avg_r=  0.431 | h2h=  0.0000 | br=18.7646 | avg= 0.5109 |   2941 ep/s | 11.6m
[Ep   2000000/50000000] avg_r=  0.345 | h2h=  0.0000 | br=18.9174 | avg= 0.5114 |   2993 ep/s | 11.9m
[Ep   2050000/50000000] avg_r=  0.468 | h2h=  0.0000 | br=18.9749 | avg= 0.5113 |   3012 ep/s | 12.2m
[Ep   2100000/50000000] avg_r=  0.411 | h2h=  0.0000 | br=18.9087 | avg= 0.5117 |   3028 ep/s | 12.4m
[Ep   2150000/50000000] avg_r=  0.369 | h2h=  0.0000 | br=19.0250 | avg= 0.5128 |   3033 ep/s | 12.7m
[Ep   2200000/50000000] avg_r=  0.476 | h2h=  0.0000 | br=19.0073 | avg= 0.5121 |   3072 ep/s | 13.0m
[Ep   2250000/50000000] avg_r=  0.425 | h2h=  0.0000 | br=18.9883 | avg= 0.5121 |   3070 ep/s | 13.2m
[Ep   2300000/50000000] avg_r=  0.395 | h2h=  0.0000 | br=18.9017 | avg= 0.5124 |   3091 ep/s | 13.5m
[Ep   2350000/50000000] avg_r=  0.439 | h2h=  0.0000 | br=18.7282 | avg= 0.5130 |   3052 ep/s | 13.8m
[Ep   2400000/50000000] avg_r=  0.435 | h2h=  0.0000 | br=18.6524 | avg= 0.5140 |   3085 ep/s | 14.1m
[Ep   2450000/50000000] avg_r=  0.487 | h2h=  0.0000 | br=18.5170 | avg= 0.5148 |   3107 ep/s | 14.3m
[Ep   2500000/50000000] avg_r=  0.405 | h2h=  0.0000 | br=18.3955 | avg= 0.5167 |   3115 ep/s | 14.6m
[Ep   2550000/50000000] avg_r=  0.438 | h2h=  0.0000 | br=18.3836 | avg= 0.5170 |   3145 ep/s | 14.9m
[Ep   2600000/50000000] avg_r=  0.351 | h2h=  0.0000 | br=18.3489 | avg= 0.5176 |   3018 ep/s | 15.1m
[Ep   2650000/50000000] avg_r=  0.376 | h2h=  0.0000 | br=18.2321 | avg= 0.5186 |   3132 ep/s | 15.4m
[Ep   2700000/50000000] avg_r=  0.285 | h2h=  0.0000 | br=18.0526 | avg= 0.5186 |   3154 ep/s | 15.7m
[Ep   2750000/50000000] avg_r=  0.420 | h2h=  0.0000 | br=17.8215 | avg= 0.5186 |   3101 ep/s | 15.9m
[Ep   2800000/50000000] avg_r=  0.401 | h2h=  0.0000 | br=17.8412 | avg= 0.5211 |   3111 ep/s | 16.2m
[Ep   2850000/50000000] avg_r=  0.290 | h2h=  0.0000 | br=17.7620 | avg= 0.5210 |   3099 ep/s | 16.5m
[Ep   2900000/50000000] avg_r=  0.329 | h2h=  0.0000 | br=17.7294 | avg= 0.5216 |   3121 ep/s | 16.7m
[Ep   2950000/50000000] avg_r=  0.289 | h2h=  0.0000 | br=17.7287 | avg= 0.5212 |   3132 ep/s | 17.0m
[Ep   3000000/50000000] avg_r=  0.323 | h2h=  0.0000 | br=17.6146 | avg= 0.5233 |   3151 ep/s | 17.3m
[Ep   3050000/50000000] avg_r=  0.296 | h2h=  0.0000 | br=17.6315 | avg= 0.5231 |   3118 ep/s | 17.5m
[Ep   3100000/50000000] avg_r=  0.340 | h2h=  0.0000 | br=17.5437 | avg= 0.5235 |   3126 ep/s | 17.8m
[Ep   3150000/50000000] avg_r=  0.263 | h2h=  0.0000 | br=17.5059 | avg= 0.5240 |   3177 ep/s | 18.1m
[Ep   3200000/50000000] avg_r=  0.214 | h2h=  0.0000 | br=17.7516 | avg= 0.5257 |   3128 ep/s | 18.3m
[Ep   3250000/50000000] avg_r=  0.213 | h2h=  0.0000 | br=17.4911 | avg= 0.5246 |   3148 ep/s | 18.6m
[Ep   3300000/50000000] avg_r=  0.266 | h2h=  0.0000 | br=17.3268 | avg= 0.5261 |   3105 ep/s | 18.9m
[Ep   3350000/50000000] avg_r=  0.210 | h2h=  0.0000 | br=17.4489 | avg= 0.5255 |   3086 ep/s | 19.1m
[Ep   3400000/50000000] avg_r=  0.287 | h2h=  0.0000 | br=17.4365 | avg= 0.5254 |   3133 ep/s | 19.4m
[Ep   3450000/50000000] avg_r=  0.218 | h2h=  0.0000 | br=17.4007 | avg= 0.5266 |   3117 ep/s | 19.7m
[Ep   3500000/50000000] avg_r=  0.255 | h2h=  0.0000 | br=17.3992 | avg= 0.5265 |   3085 ep/s | 19.9m
[Ep   3550000/50000000] avg_r=  0.283 | h2h=  0.0000 | br=17.2389 | avg= 0.5271 |   3094 ep/s | 20.2m
[Ep   3600000/50000000] avg_r=  0.296 | h2h=  0.0000 | br=17.1703 | avg= 0.5273 |   3106 ep/s | 20.5m
[Ep   3650000/50000000] avg_r=  0.226 | h2h=  0.0000 | br=17.2145 | avg= 0.5271 |   3093 ep/s | 20.7m
[Ep   3700000/50000000] avg_r=  0.145 | h2h=  0.0000 | br=17.1606 | avg= 0.5291 |   3157 ep/s | 21.0m
[Ep   3750000/50000000] avg_r=  0.261 | h2h=  0.0000 | br=17.1429 | avg= 0.5303 |   3109 ep/s | 21.3m
[Ep   3800000/50000000] avg_r=  0.139 | h2h=  0.0000 | br=17.0559 | avg= 0.5296 |   3073 ep/s | 21.5m
[Ep   3850000/50000000] avg_r=  0.152 | h2h=  0.0000 | br=17.1107 | avg= 0.5301 |   3082 ep/s | 21.8m
[Ep   3900000/50000000] avg_r=  0.230 | h2h=  0.0000 | br=17.0923 | avg= 0.5306 |   3083 ep/s | 22.1m
[Ep   3950000/50000000] avg_r=  0.139 | h2h=  0.0000 | br=17.0635 | avg= 0.5299 |   3076 ep/s | 22.4m
[Ep   4000000/50000000] avg_r=  0.217 | h2h=  0.0000 | br=17.0351 | avg= 0.5313 |   3113 ep/s | 22.6m
[Ep   4050000/50000000] avg_r=  0.223 | h2h=  0.0000 | br=16.9396 | avg= 0.5314 |   3114 ep/s | 22.9m
[Ep   4100000/50000000] avg_r=  0.101 | h2h=  0.0000 | br=16.9154 | avg= 0.5305 |   3106 ep/s | 23.2m
[Ep   4150000/50000000] avg_r=  0.091 | h2h=  0.0000 | br=16.6535 | avg= 0.5327 |   3150 ep/s | 23.4m
