NFSP C++ Hold'em holdem_64x64_iqn_neutral (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep     50000/50000000] avg_r=  0.674 | h2h=  0.0000 | br= 0.4663 | avg= 0.3530 |   2969 ep/s | 0.3m
[Ep    100000/50000000] avg_r=  0.588 | h2h=  0.0000 | br= 0.5426 | avg= 0.3556 |   2796 ep/s | 0.6m
[Ep    150000/50000000] avg_r=  0.379 | h2h=  0.0000 | br= 0.5424 | avg= 0.3891 |   2844 ep/s | 0.9m
[Ep    200000/50000000] avg_r=  0.411 | h2h=  0.0000 | br= 0.5213 | avg= 0.3835 |   2817 ep/s | 1.2m
[Ep    250000/50000000] avg_r=  0.433 | h2h=  0.0000 | br= 0.5143 | avg= 0.3883 |   2906 ep/s | 1.5m
[Ep    300000/50000000] avg_r=  0.442 | h2h=  0.0000 | br= 0.6274 | avg= 0.3824 |   2851 ep/s | 1.7m
[Ep    350000/50000000] avg_r=  0.446 | h2h=  0.0000 | br= 0.9224 | avg= 0.3834 |   2845 ep/s | 2.0m
[Ep    400000/50000000] avg_r=  0.486 | h2h=  0.0000 | br= 0.9329 | avg= 0.3873 |   2780 ep/s | 2.3m
[Ep    450000/50000000] avg_r=  0.409 | h2h=  0.0000 | br= 0.9204 | avg= 0.4147 |   2855 ep/s | 2.6m
[Ep    500000/50000000] avg_r=  0.260 | h2h=  0.0000 | br= 0.9663 | avg= 0.4317 |   2841 ep/s | 2.9m
[Ep    550000/50000000] avg_r=  0.277 | h2h=  0.0000 | br= 1.1399 | avg= 0.4435 |   2893 ep/s | 3.2m
[Ep    600000/50000000] avg_r=  0.246 | h2h=  0.0000 | br= 1.3081 | avg= 0.4421 |   2941 ep/s | 3.5m
[Ep    650000/50000000] avg_r=  0.241 | h2h=  0.0000 | br= 1.2917 | avg= 0.4458 |   2872 ep/s | 3.8m
[Ep    700000/50000000] avg_r=  0.320 | h2h=  0.0000 | br= 1.2924 | avg= 0.4408 |   2875 ep/s | 4.1m
[Ep    750000/50000000] avg_r=  0.366 | h2h=  0.0000 | br= 1.3019 | avg= 0.4411 |   2873 ep/s | 4.4m
[Ep    800000/50000000] avg_r=  0.288 | h2h=  0.0000 | br= 1.3209 | avg= 0.4430 |   2895 ep/s | 4.7m
[Ep    850000/50000000] avg_r=  0.359 | h2h=  0.0000 | br= 1.3343 | avg= 0.4422 |   2898 ep/s | 4.9m
[Ep    900000/50000000] avg_r=  0.238 | h2h=  0.0000 | br= 1.4508 | avg= 0.4477 |   2848 ep/s | 5.2m
[Ep    950000/50000000] avg_r=  0.373 | h2h=  0.0000 | br= 1.5588 | avg= 0.4402 |   2870 ep/s | 5.5m
[Ep   1000000/50000000] avg_r=  0.349 | h2h=  0.0000 | br= 1.7999 | avg= 0.4335 |   2910 ep/s | 5.8m
[Ep   1050000/50000000] avg_r=  0.310 | h2h=  0.0000 | br= 1.8243 | avg= 0.4302 |   2937 ep/s | 6.1m
[Ep   1100000/50000000] avg_r=  0.420 | h2h=  0.0000 | br= 1.8288 | avg= 0.4270 |   2894 ep/s | 6.4m
[Ep   1150000/50000000] avg_r=  0.267 | h2h=  0.0000 | br= 1.8299 | avg= 0.4227 |   2903 ep/s | 6.7m
[Ep   1200000/50000000] avg_r=  0.234 | h2h=  0.0000 | br= 1.9174 | avg= 0.4113 |   2919 ep/s | 7.0m
[Ep   1250000/50000000] avg_r=  0.381 | h2h=  0.0000 | br= 2.0319 | avg= 0.4224 |   2888 ep/s | 7.2m
[Ep   1300000/50000000] avg_r=  0.357 | h2h=  0.0000 | br= 2.2555 | avg= 0.4276 |   2916 ep/s | 7.5m
[Ep   1350000/50000000] avg_r=  0.344 | h2h=  0.0000 | br= 2.2979 | avg= 0.4328 |   2897 ep/s | 7.8m
[Ep   1400000/50000000] avg_r=  0.409 | h2h=  0.0000 | br= 2.3081 | avg= 0.4365 |   2920 ep/s | 8.1m
[Ep   1450000/50000000] avg_r=  0.377 | h2h=  0.0000 | br= 2.3053 | avg= 0.4389 |   2879 ep/s | 8.4m
[Ep   1500000/50000000] avg_r=  0.306 | h2h=  0.0000 | br= 2.3076 | avg= 0.4395 |   2867 ep/s | 8.7m
[Ep   1550000/50000000] avg_r=  0.375 | h2h=  0.0000 | br= 2.3094 | avg= 0.4389 |   2850 ep/s | 9.0m
[Ep   1600000/50000000] avg_r=  0.319 | h2h=  0.0000 | br= 2.3594 | avg= 0.4372 |   2871 ep/s | 9.3m
[Ep   1650000/50000000] avg_r=  0.329 | h2h=  0.0000 | br= 2.5058 | avg= 0.4445 |   2865 ep/s | 9.6m
[Ep   1700000/50000000] avg_r=  0.320 | h2h=  0.0000 | br= 2.5965 | avg= 0.4434 |   2989 ep/s | 9.8m
[Ep   1750000/50000000] avg_r=  0.251 | h2h=  0.0000 | br= 2.5699 | avg= 0.4444 |   2945 ep/s | 10.1m
[Ep   1800000/50000000] avg_r=  0.331 | h2h=  0.0000 | br= 2.5562 | avg= 0.4448 |   2916 ep/s | 10.4m
[Ep   1850000/50000000] avg_r=  0.358 | h2h=  0.0000 | br= 2.5584 | avg= 0.4450 |   2962 ep/s | 10.7m
[Ep   1900000/50000000] avg_r=  0.266 | h2h=  0.0000 | br= 2.5629 | avg= 0.4442 |   2985 ep/s | 11.0m
[Ep   1950000/50000000] avg_r=  0.392 | h2h=  0.0000 | br= 2.5562 | avg= 0.4444 |   2914 ep/s | 11.3m
[Ep   2000000/50000000] avg_r=  0.315 | h2h=  0.0000 | br= 2.5530 | avg= 0.4422 |   2956 ep/s | 11.5m
[Ep   2050000/50000000] avg_r=  0.224 | h2h=  0.0000 | br= 2.5540 | avg= 0.4420 |   2914 ep/s | 11.8m
[Ep   2100000/50000000] avg_r=  0.224 | h2h=  0.0000 | br= 2.5565 | avg= 0.4406 |   2955 ep/s | 12.1m
[Ep   2150000/50000000] avg_r=  0.331 | h2h=  0.0000 | br= 2.5564 | avg= 0.4490 |   2906 ep/s | 12.4m
[Ep   2200000/50000000] avg_r=  0.363 | h2h=  0.0000 | br= 2.6700 | avg= 0.4436 |   3013 ep/s | 12.7m
[Ep   2250000/50000000] avg_r=  0.432 | h2h=  0.0000 | br= 2.6121 | avg= 0.4469 |   3037 ep/s | 12.9m
[Ep   2300000/50000000] avg_r=  0.339 | h2h=  0.0000 | br= 2.5736 | avg= 0.4505 |   3037 ep/s | 13.2m
[Ep   2350000/50000000] avg_r=  0.340 | h2h=  0.0000 | br= 2.5726 | avg= 0.4535 |   3073 ep/s | 13.5m
[Ep   2400000/50000000] avg_r=  0.285 | h2h=  0.0000 | br= 2.5714 | avg= 0.4554 |   3038 ep/s | 13.8m
[Ep   2450000/50000000] avg_r=  0.278 | h2h=  0.0000 | br= 2.5720 | avg= 0.4577 |   3062 ep/s | 14.0m
[Ep   2500000/50000000] avg_r=  0.330 | h2h=  0.0000 | br= 2.5737 | avg= 0.4571 |   3063 ep/s | 14.3m
[Ep   2550000/50000000] avg_r=  0.363 | h2h=  0.0000 | br= 2.5746 | avg= 0.4577 |   3028 ep/s | 14.6m
[Ep   2600000/50000000] avg_r=  0.287 | h2h=  0.0000 | br= 2.5724 | avg= 0.4590 |   3029 ep/s | 14.9m
[Ep   2650000/50000000] avg_r=  0.359 | h2h=  0.0000 | br= 2.5715 | avg= 0.4600 |   3020 ep/s | 15.1m
[Ep   2700000/50000000] avg_r=  0.293 | h2h=  0.0000 | br= 2.5700 | avg= 0.4588 |   3021 ep/s | 15.4m
[Ep   2750000/50000000] avg_r=  0.336 | h2h=  0.0000 | br= 2.5694 | avg= 0.4592 |   3038 ep/s | 15.7m
[Ep   2800000/50000000] avg_r=  0.272 | h2h=  0.0000 | br= 2.5691 | avg= 0.4743 |   3015 ep/s | 16.0m
[Ep   2850000/50000000] avg_r=  0.260 | h2h=  0.0000 | br= 2.5797 | avg= 0.4721 |   2976 ep/s | 16.2m
[Ep   2900000/50000000] avg_r=  0.346 | h2h=  0.0000 | br= 2.6039 | avg= 0.4529 |   2936 ep/s | 16.5m
[Ep   2950000/50000000] avg_r=  0.280 | h2h=  0.0000 | br= 2.6216 | avg= 0.4469 |   2975 ep/s | 16.8m
[Ep   3000000/50000000] avg_r=  0.250 | h2h=  0.0000 | br= 2.6055 | avg= 0.4637 |   3022 ep/s | 17.1m
[Ep   3050000/50000000] avg_r=  0.269 | h2h=  0.0000 | br= 2.5886 | avg= 0.4676 |   3003 ep/s | 17.4m
[Ep   3100000/50000000] avg_r=  0.238 | h2h=  0.0000 | br= 2.5838 | avg= 0.4707 |   2991 ep/s | 17.6m
[Ep   3150000/50000000] avg_r=  0.243 | h2h=  0.0000 | br= 2.5797 | avg= 0.4727 |   2975 ep/s | 17.9m
[Ep   3200000/50000000] avg_r=  0.191 | h2h=  0.0000 | br= 2.5803 | avg= 0.4744 |   3004 ep/s | 18.2m
[Ep   3250000/50000000] avg_r=  0.222 | h2h=  0.0000 | br= 2.5834 | avg= 0.4757 |   3051 ep/s | 18.5m
[Ep   3300000/50000000] avg_r=  0.234 | h2h=  0.0000 | br= 2.5810 | avg= 0.4764 |   3004 ep/s | 18.7m
[Ep   3350000/50000000] avg_r=  0.201 | h2h=  0.0000 | br= 2.5797 | avg= 0.4779 |   2960 ep/s | 19.0m
[Ep   3400000/50000000] avg_r=  0.290 | h2h=  0.0000 | br= 2.5789 | avg= 0.4762 |   3004 ep/s | 19.3m
[Ep   3450000/50000000] avg_r=  0.223 | h2h=  0.0000 | br= 2.5794 | avg= 0.4767 |   2989 ep/s | 19.6m
[Ep   3500000/50000000] avg_r=  0.276 | h2h=  0.0000 | br= 2.5801 | avg= 0.4766 |   3010 ep/s | 19.9m
[Ep   3550000/50000000] avg_r=  0.222 | h2h=  0.0000 | br= 2.5801 | avg= 0.4764 |   3004 ep/s | 20.1m
[Ep   3600000/50000000] avg_r=  0.221 | h2h=  0.0000 | br= 2.5791 | avg= 0.4751 |   3019 ep/s | 20.4m
[Ep   3650000/50000000] avg_r=  0.188 | h2h=  0.0000 | br= 2.5779 | avg= 0.4921 |   2979 ep/s | 20.7m
[Ep   3700000/50000000] avg_r=  0.262 | h2h=  0.0000 | br= 2.5729 | avg= 0.4801 |   2978 ep/s | 21.0m
[Ep   3750000/50000000] avg_r=  0.198 | h2h=  0.0000 | br= 2.5867 | avg= 0.4759 |   2945 ep/s | 21.2m
[Ep   3800000/50000000] avg_r=  0.301 | h2h=  0.0000 | br= 2.6030 | avg= 0.4777 |   2914 ep/s | 21.5m
[Ep   3850000/50000000] avg_r=  0.217 | h2h=  0.0000 | br= 2.6035 | avg= 0.4771 |   2948 ep/s | 21.8m
[Ep   3900000/50000000] avg_r=  0.320 | h2h=  0.0000 | br= 2.6066 | avg= 0.4776 |   2950 ep/s | 22.1m
[Ep   3950000/50000000] avg_r=  0.263 | h2h=  0.0000 | br= 2.6030 | avg= 0.4595 |   2909 ep/s | 22.4m
[Ep   4000000/50000000] avg_r=  0.285 | h2h=  0.0000 | br= 2.5972 | avg= 0.4716 |   2937 ep/s | 22.7m
[Ep   4050000/50000000] avg_r=  0.145 | h2h=  0.0000 | br= 2.5854 | avg= 0.4813 |   2936 ep/s | 23.0m
[Ep   4100000/50000000] avg_r=  0.255 | h2h=  0.0000 | br= 2.5760 | avg= 0.4806 |   2884 ep/s | 23.2m
[Ep   4150000/50000000] avg_r=  0.319 | h2h=  0.0000 | br= 2.5702 | avg= 0.4835 |   2905 ep/s | 23.5m
[Ep   4200000/50000000] avg_r=  0.196 | h2h=  0.0000 | br= 2.5696 | avg= 0.4859 |   2916 ep/s | 23.8m
[Ep   4250000/50000000] avg_r=  0.261 | h2h=  0.0000 | br= 2.5703 | avg= 0.4860 |   2915 ep/s | 24.1m
[Ep   4300000/50000000] avg_r=  0.189 | h2h=  0.0000 | br= 2.5720 | avg= 0.4862 |   2940 ep/s | 24.4m
[Ep   4350000/50000000] avg_r=  0.255 | h2h=  0.0000 | br= 2.5708 | avg= 0.4868 |   2914 ep/s | 24.7m
[Ep   4400000/50000000] avg_r=  0.212 | h2h=  0.0000 | br= 2.5709 | avg= 0.4869 |   2902 ep/s | 25.0m
[Ep   4450000/50000000] avg_r=  0.108 | h2h=  0.0000 | br= 2.5703 | avg= 0.4871 |   2890 ep/s | 25.2m
[Ep   4500000/50000000] avg_r=  0.121 | h2h=  0.0000 | br= 2.5681 | avg= 0.4877 |   2926 ep/s | 25.5m
[Ep   4550000/50000000] avg_r=  0.282 | h2h=  0.0000 | br= 2.5686 | avg= 0.4878 |   2938 ep/s | 25.8m
[Ep   4600000/50000000] avg_r=  0.169 | h2h=  0.0000 | br= 2.5682 | avg= 0.4876 |   2931 ep/s | 26.1m
[Ep   4650000/50000000] avg_r=  0.254 | h2h=  0.0000 | br= 2.5706 | avg= 0.5068 |   2894 ep/s | 26.4m
[Ep   4700000/50000000] avg_r=  0.234 | h2h=  0.0000 | br= 2.5694 | avg= 0.5102 |   2926 ep/s | 26.7m
[Ep   4750000/50000000] avg_r=  0.031 | h2h=  0.0000 | br= 2.5573 | avg= 0.4890 |   2969 ep/s | 27.0m
[Ep   4800000/50000000] avg_r=  0.171 | h2h=  0.0000 | br= 2.5452 | avg= 0.4899 |   2953 ep/s | 27.2m
[Ep   4850000/50000000] avg_r=  0.058 | h2h=  0.0000 | br= 2.5378 | avg= 0.4938 |   2921 ep/s | 27.5m
[Ep   4900000/50000000] avg_r=  0.184 | h2h=  0.0000 | br= 2.5340 | avg= 0.4950 |   2933 ep/s | 27.8m
[Ep   4950000/50000000] avg_r=  0.192 | h2h=  0.0000 | br= 2.5330 | avg= 0.4941 |   2920 ep/s | 28.1m
[Ep   5000000/50000000] avg_r=  0.190 | h2h=  0.0000 | br= 2.5320 | avg= 0.4955 |   2932 ep/s | 28.4m
[Ep   5050000/50000000] avg_r=  0.214 | h2h=  0.0000 | br= 2.5316 | avg= 0.4979 |   2908 ep/s | 28.7m
[Ep   5100000/50000000] avg_r=  0.231 | h2h=  0.0000 | br= 2.5351 | avg= 0.4986 |   2927 ep/s | 28.9m
[Ep   5150000/50000000] avg_r=  0.164 | h2h=  0.0000 | br= 2.5344 | avg= 0.4994 |   2960 ep/s | 29.2m
[Ep   5200000/50000000] avg_r=  0.121 | h2h=  0.0000 | br= 2.5325 | avg= 0.4987 |   2956 ep/s | 29.5m
[Ep   5250000/50000000] avg_r=  0.104 | h2h=  0.0000 | br= 2.5330 | avg= 0.4983 |   2920 ep/s | 29.8m
[Ep   5300000/50000000] avg_r=  0.125 | h2h=  0.0000 | br= 2.5341 | avg= 0.4923 |   2952 ep/s | 30.1m
[Ep   5350000/50000000] avg_r=  0.153 | h2h=  0.0000 | br= 2.5343 | avg= 0.4909 |   2878 ep/s | 30.4m
[Ep   5400000/50000000] avg_r=  0.180 | h2h=  0.0000 | br= 2.5405 | avg= 0.4936 |   2928 ep/s | 30.7m
[Ep   5450000/50000000] avg_r=  0.185 | h2h=  0.0000 | br= 2.5576 | avg= 0.5010 |   2935 ep/s | 30.9m
[Ep   5500000/50000000] avg_r=  0.129 | h2h=  0.0000 | br= 2.5549 | avg= 0.5027 |   2933 ep/s | 31.2m
[Ep   5550000/50000000] avg_r=  0.062 | h2h=  0.0000 | br= 2.5543 | avg= 0.5021 |   2925 ep/s | 31.5m
[Ep   5600000/50000000] avg_r=  0.109 | h2h=  0.0000 | br= 2.5533 | avg= 0.5034 |   2916 ep/s | 31.8m
[Ep   5650000/50000000] avg_r=  0.161 | h2h=  0.0000 | br= 2.5548 | avg= 0.5021 |   2934 ep/s | 32.1m
[Ep   5700000/50000000] avg_r=  0.134 | h2h=  0.0000 | br= 2.5534 | avg= 0.5039 |   2902 ep/s | 32.4m
[Ep   5750000/50000000] avg_r=  0.105 | h2h=  0.0000 | br= 2.5545 | avg= 0.5044 |   2917 ep/s | 32.6m
[Ep   5800000/50000000] avg_r=  0.076 | h2h=  0.0000 | br= 2.5520 | avg= 0.5046 |   2958 ep/s | 32.9m
[Ep   5850000/50000000] avg_r=  0.193 | h2h=  0.0000 | br= 2.5530 | avg= 0.5052 |   2882 ep/s | 33.2m
