NFSP C++ Hold'em holdem_64x64_meanvar (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep     50000/50000000] avg_r=  0.422 | h2h=  0.0000 | br= 0.4529 | avg= 0.3548 |   3081 ep/s | 0.3m
[Ep    100000/50000000] avg_r=  0.443 | h2h=  0.0000 | br= 0.5043 | avg= 0.3510 |   2854 ep/s | 0.6m
[Ep    150000/50000000] avg_r=  0.527 | h2h=  0.0000 | br= 0.5036 | avg= 0.3564 |   2882 ep/s | 0.9m
[Ep    200000/50000000] avg_r=  0.487 | h2h=  0.0000 | br= 0.5033 | avg= 0.3515 |   2905 ep/s | 1.1m
[Ep    250000/50000000] avg_r=  0.548 | h2h=  0.0000 | br= 0.5082 | avg= 0.3519 |   2866 ep/s | 1.4m
[Ep    300000/50000000] avg_r=  0.400 | h2h=  0.0000 | br= 0.7204 | avg= 0.3716 |   2924 ep/s | 1.7m
[Ep    350000/50000000] avg_r=  0.443 | h2h=  0.0000 | br= 0.7792 | avg= 0.3808 |   2923 ep/s | 2.0m
[Ep    400000/50000000] avg_r=  0.423 | h2h=  0.0000 | br= 0.9887 | avg= 0.3803 |   2924 ep/s | 2.3m
[Ep    450000/50000000] avg_r=  0.500 | h2h=  0.0000 | br= 0.9551 | avg= 0.3737 |   2947 ep/s | 2.6m
[Ep    500000/50000000] avg_r=  0.583 | h2h=  0.0000 | br= 0.9504 | avg= 0.3713 |   2952 ep/s | 2.8m
[Ep    550000/50000000] avg_r=  0.520 | h2h=  0.0000 | br= 1.1101 | avg= 0.3751 |   2976 ep/s | 3.1m
[Ep    600000/50000000] avg_r=  0.428 | h2h=  0.0000 | br= 1.1270 | avg= 0.3812 |   2994 ep/s | 3.4m
[Ep    650000/50000000] avg_r=  0.422 | h2h=  0.0000 | br= 1.1022 | avg= 0.3825 |   3002 ep/s | 3.7m
[Ep    700000/50000000] avg_r=  0.455 | h2h=  0.0000 | br= 1.1000 | avg= 0.3844 |   2998 ep/s | 4.0m
[Ep    750000/50000000] avg_r=  0.409 | h2h=  0.0000 | br= 1.2002 | avg= 0.3753 |   3043 ep/s | 4.2m
[Ep    800000/50000000] avg_r=  0.258 | h2h=  0.0000 | br= 1.3289 | avg= 0.3861 |   3078 ep/s | 4.5m
[Ep    850000/50000000] avg_r=  0.228 | h2h=  0.0000 | br= 1.2930 | avg= 0.3888 |   3080 ep/s | 4.8m
[Ep    900000/50000000] avg_r=  0.259 | h2h=  0.0000 | br= 1.2913 | avg= 0.3898 |   3071 ep/s | 5.0m
[Ep    950000/50000000] avg_r=  0.319 | h2h=  0.0000 | br= 1.2898 | avg= 0.3893 |   3108 ep/s | 5.3m
[Ep   1000000/50000000] avg_r=  0.149 | h2h=  0.0000 | br= 1.2863 | avg= 0.3885 |   3030 ep/s | 5.6m
[Ep   1050000/50000000] avg_r=  0.196 | h2h=  0.0000 | br= 1.2859 | avg= 0.3907 |   3068 ep/s | 5.9m
[Ep   1100000/50000000] avg_r=  0.249 | h2h=  0.0000 | br= 1.6325 | avg= 0.3870 |   3065 ep/s | 6.1m
[Ep   1150000/50000000] avg_r=  0.174 | h2h=  0.0000 | br= 1.7308 | avg= 0.3978 |   3085 ep/s | 6.4m
[Ep   1200000/50000000] avg_r=  0.306 | h2h=  0.0000 | br= 1.7400 | avg= 0.4006 |   3099 ep/s | 6.7m
[Ep   1250000/50000000] avg_r=  0.216 | h2h=  0.0000 | br= 1.7412 | avg= 0.4026 |   3090 ep/s | 6.9m
[Ep   1300000/50000000] avg_r=  0.172 | h2h=  0.0000 | br= 1.7367 | avg= 0.4041 |   3107 ep/s | 7.2m
[Ep   1350000/50000000] avg_r=  0.226 | h2h=  0.0000 | br= 1.7416 | avg= 0.4020 |   3134 ep/s | 7.5m
[Ep   1400000/50000000] avg_r=  0.189 | h2h=  0.0000 | br= 1.7341 | avg= 0.4028 |   3162 ep/s | 7.7m
[Ep   1450000/50000000] avg_r=  0.257 | h2h=  0.0000 | br= 1.7345 | avg= 0.4011 |   3113 ep/s | 8.0m
[Ep   1500000/50000000] avg_r=  0.185 | h2h=  0.0000 | br= 1.7380 | avg= 0.3868 |   3095 ep/s | 8.3m
[Ep   1550000/50000000] avg_r=  0.273 | h2h=  0.0000 | br= 1.8901 | avg= 0.3976 |   3066 ep/s | 8.6m
[Ep   1600000/50000000] avg_r=  0.194 | h2h=  0.0000 | br= 2.1543 | avg= 0.3991 |   3058 ep/s | 8.8m
[Ep   1650000/50000000] avg_r=  0.171 | h2h=  0.0000 | br= 2.1754 | avg= 0.4017 |   3089 ep/s | 9.1m
[Ep   1700000/50000000] avg_r=  0.127 | h2h=  0.0000 | br= 2.1827 | avg= 0.4024 |   3085 ep/s | 9.4m
[Ep   1750000/50000000] avg_r=  0.157 | h2h=  0.0000 | br= 2.1826 | avg= 0.4037 |   3080 ep/s | 9.6m
[Ep   1800000/50000000] avg_r=  0.146 | h2h=  0.0000 | br= 2.1776 | avg= 0.4034 |   3129 ep/s | 9.9m
[Ep   1850000/50000000] avg_r=  0.194 | h2h=  0.0000 | br= 2.1799 | avg= 0.4014 |   3016 ep/s | 10.2m
[Ep   1900000/50000000] avg_r=  0.227 | h2h=  0.0000 | br= 2.1749 | avg= 0.4035 |   3085 ep/s | 10.4m
[Ep   1950000/50000000] avg_r=  0.160 | h2h=  0.0000 | br= 2.1753 | avg= 0.4019 |   3108 ep/s | 10.7m
[Ep   2000000/50000000] avg_r=  0.114 | h2h=  0.0000 | br= 2.1774 | avg= 0.3988 |   3035 ep/s | 11.0m
[Ep   2050000/50000000] avg_r=  0.140 | h2h=  0.0000 | br= 2.1759 | avg= 0.3986 |   3099 ep/s | 11.3m
[Ep   2100000/50000000] avg_r=  0.124 | h2h=  0.0000 | br= 2.1791 | avg= 0.3971 |   3211 ep/s | 11.5m
[Ep   2150000/50000000] avg_r=  0.159 | h2h=  0.0000 | br= 2.1741 | avg= 0.3995 |   3226 ep/s | 11.8m
[Ep   2200000/50000000] avg_r=  0.219 | h2h=  0.0000 | br= 2.2449 | avg= 0.3844 |   3183 ep/s | 12.0m
[Ep   2250000/50000000] avg_r= -0.014 | h2h=  0.0000 | br= 2.4422 | avg= 0.3931 |   3153 ep/s | 12.3m
[Ep   2300000/50000000] avg_r=  0.195 | h2h=  0.0000 | br= 2.5181 | avg= 0.4011 |   3171 ep/s | 12.6m
[Ep   2350000/50000000] avg_r=  0.239 | h2h=  0.0000 | br= 2.5396 | avg= 0.4011 |   3161 ep/s | 12.8m
[Ep   2400000/50000000] avg_r=  0.231 | h2h=  0.0000 | br= 2.5388 | avg= 0.4034 |   3183 ep/s | 13.1m
[Ep   2450000/50000000] avg_r=  0.067 | h2h=  0.0000 | br= 2.5394 | avg= 0.4043 |   3200 ep/s | 13.4m
[Ep   2500000/50000000] avg_r=  0.136 | h2h=  0.0000 | br= 2.5394 | avg= 0.4045 |   3129 ep/s | 13.6m
[Ep   2550000/50000000] avg_r=  0.062 | h2h=  0.0000 | br= 2.5372 | avg= 0.4032 |   3139 ep/s | 13.9m
[Ep   2600000/50000000] avg_r=  0.165 | h2h=  0.0000 | br= 2.5375 | avg= 0.4053 |   3159 ep/s | 14.1m
[Ep   2650000/50000000] avg_r=  0.170 | h2h=  0.0000 | br= 2.5343 | avg= 0.4029 |   3182 ep/s | 14.4m
[Ep   2700000/50000000] avg_r=  0.137 | h2h=  0.0000 | br= 2.5360 | avg= 0.4036 |   3134 ep/s | 14.7m
[Ep   2750000/50000000] avg_r=  0.154 | h2h=  0.0000 | br= 2.5358 | avg= 0.4031 |   3113 ep/s | 14.9m
[Ep   2800000/50000000] avg_r=  0.199 | h2h=  0.0000 | br= 2.5351 | avg= 0.3991 |   3080 ep/s | 15.2m
[Ep   2850000/50000000] avg_r=  0.167 | h2h=  0.0000 | br= 2.5357 | avg= 0.3994 |   3167 ep/s | 15.5m
[Ep   2900000/50000000] avg_r=  0.126 | h2h=  0.0000 | br= 2.5357 | avg= 0.4005 |   3150 ep/s | 15.7m
[Ep   2950000/50000000] avg_r=  0.190 | h2h=  0.0000 | br= 2.5373 | avg= 0.3989 |   2995 ep/s | 16.0m
[Ep   3000000/50000000] avg_r=  0.236 | h2h=  0.0000 | br= 2.5383 | avg= 0.3963 |   2972 ep/s | 16.3m
[Ep   3050000/50000000] avg_r=  0.128 | h2h=  0.0000 | br= 2.5329 | avg= 0.3982 |   3007 ep/s | 16.6m
