NFSP C++ Hold'em holdem_64x64_mv_train_std_10 (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep     50000/50000000] avg_r=  0.710 | h2h=  0.0000 | br= 0.4293 | avg= 0.3159 | fc=0.020 |   2336 ep/s | 0.4m
[Ep    100000/50000000] avg_r=  0.792 | h2h=  0.0000 | br= 0.5314 | avg= 0.3025 | fc=0.023 |   2085 ep/s | 0.8m
[Ep    150000/50000000] avg_r=  0.906 | h2h=  0.0000 | br= 0.5451 | avg= 0.3152 | fc=0.018 |   2176 ep/s | 1.1m
[Ep    200000/50000000] avg_r=  0.677 | h2h=  0.0000 | br= 0.5424 | avg= 0.3452 | fc=0.020 |   2099 ep/s | 1.5m
[Ep    250000/50000000] avg_r=  0.562 | h2h=  0.0000 | br= 0.5365 | avg= 0.3618 | fc=0.016 |   2193 ep/s | 1.9m
[Ep    300000/50000000] avg_r=  0.532 | h2h=  0.0000 | br= 0.5318 | avg= 0.3708 | fc=0.018 |   2266 ep/s | 2.3m
[Ep    350000/50000000] avg_r=  0.618 | h2h=  0.0000 | br= 0.5223 | avg= 0.3691 | fc=0.027 |   2160 ep/s | 2.7m
[Ep    400000/50000000] avg_r=  0.512 | h2h=  0.0000 | br= 0.5626 | avg= 0.3680 | fc=0.166 |   2203 ep/s | 3.0m
[Ep    450000/50000000] avg_r=  0.445 | h2h=  0.0000 | br= 0.8255 | avg= 0.3701 | fc=0.336 |   2181 ep/s | 3.4m
[Ep    500000/50000000] avg_r=  0.370 | h2h=  0.0000 | br= 0.8854 | avg= 0.3688 | fc=0.322 |   2229 ep/s | 3.8m
[Ep    550000/50000000] avg_r=  0.345 | h2h=  0.0000 | br= 0.8758 | avg= 0.3676 | fc=0.299 |   2177 ep/s | 4.2m
[Ep    600000/50000000] avg_r=  0.262 | h2h=  0.0000 | br= 0.8702 | avg= 0.3639 | fc=0.340 |   2175 ep/s | 4.6m
[Ep    650000/50000000] avg_r=  0.392 | h2h=  0.0000 | br= 0.8667 | avg= 0.3620 | fc=0.336 |   2259 ep/s | 4.9m
[Ep    700000/50000000] avg_r=  0.363 | h2h=  0.0000 | br= 0.8673 | avg= 0.3602 | fc=0.346 |   2259 ep/s | 5.3m
[Ep    750000/50000000] avg_r=  0.348 | h2h=  0.0000 | br= 0.8664 | avg= 0.3548 | fc=0.293 |   2241 ep/s | 5.7m
[Ep    800000/50000000] avg_r=  0.474 | h2h=  0.0000 | br= 0.9280 | avg= 0.3489 | fc=0.393 |   2183 ep/s | 6.1m
[Ep    850000/50000000] avg_r=  0.521 | h2h=  0.0000 | br= 1.0088 | avg= 0.3547 | fc=0.398 |   2218 ep/s | 6.4m
[Ep    900000/50000000] avg_r=  0.384 | h2h=  0.0000 | br= 1.1115 | avg= 0.3640 | fc=0.391 |   2224 ep/s | 6.8m
[Ep    950000/50000000] avg_r=  0.414 | h2h=  0.0000 | br= 1.1337 | avg= 0.3694 | fc=0.383 |   2225 ep/s | 7.2m
