NFSP C++ Hold'em holdem_64x64_mv_train_std_full (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep     50000/50000000] avg_r=  0.431 | h2h=  0.0000 | br= 0.4124 | avg= 0.3573 | fc=0.000 |   2437 ep/s | 0.3m
[Ep    100000/50000000] avg_r=  0.420 | h2h=  0.0000 | br= 0.5250 | avg= 0.3208 | fc=0.000 |   2214 ep/s | 0.7m
[Ep    150000/50000000] avg_r=  0.611 | h2h=  0.0000 | br= 0.5436 | avg= 0.3093 | fc=0.000 |   2226 ep/s | 1.1m
[Ep    200000/50000000] avg_r=  0.490 | h2h=  0.0000 | br= 0.5322 | avg= 0.3041 | fc=0.000 |   2176 ep/s | 1.5m
[Ep    250000/50000000] avg_r=  0.467 | h2h=  0.0000 | br= 0.5251 | avg= 0.2988 | fc=0.000 |   2079 ep/s | 1.9m
[Ep    300000/50000000] avg_r=  0.482 | h2h=  0.0000 | br= 0.5221 | avg= 0.3039 | fc=0.000 |   2115 ep/s | 2.3m
[Ep    350000/50000000] avg_r=  0.483 | h2h=  0.0000 | br= 0.5197 | avg= 0.3068 | fc=0.000 |   2171 ep/s | 2.7m
[Ep    400000/50000000] avg_r=  0.502 | h2h=  0.0000 | br= 0.5282 | avg= 0.3098 | fc=0.000 |   2056 ep/s | 3.1m
[Ep    450000/50000000] avg_r=  0.432 | h2h=  0.0000 | br= 0.5299 | avg= 0.3105 | fc=0.000 |   2081 ep/s | 3.5m
[Ep    500000/50000000] avg_r=  0.491 | h2h=  0.0000 | br= 0.6817 | avg= 0.3106 | fc=0.133 |   2140 ep/s | 3.8m
[Ep    550000/50000000] avg_r=  0.607 | h2h=  0.0000 | br= 0.7351 | avg= 0.3050 | fc=0.121 |   2123 ep/s | 4.2m
[Ep    600000/50000000] avg_r=  0.439 | h2h=  0.0000 | br= 0.7236 | avg= 0.3013 | fc=0.104 |   2142 ep/s | 4.6m
[Ep    650000/50000000] avg_r=  0.430 | h2h=  0.0000 | br= 0.7180 | avg= 0.3013 | fc=0.090 |   2136 ep/s | 5.0m
